synId_prodId,percYes
n02715229::B000HKGK8Y,1
n02892304::B00BKFFMNO,0.75
n03359436::B007JR5368,1
n02898585::B00BV4RQBA,1
n04383130::B0006BAGTI,1
n03885669::B00O0RO528,1
n03657121::B0041PMD0A,1
n02928049::B001AE6F72,1
n03001627::B009MQQ7SW,0.75
n03891251::B008G8GWBY,1
n02943241::B00GRMXV1A,0.666666666666667
n04235860::B00A8E38U2,1
n03715669::B000FPDJYO,1
n02951585::B000HK03HI,1
n03262932::B001263DXC,0.666666666666667
n03450230::B0062H91C8,0.75
n03918737::B00QCX5XVU,1
n03939062::B009YNWKMK,1
n04540053::B000F7WN8U,1
n03916031::B001CT0954,1
n03894677::B000XJOHCA,1
n03956785::B00NEZIWLC,1
n03704549::B0013CMDCW,1
n03885028::B0006I4ACU,1
n03320046::B001R1Q0OG,1
n03845990::B000PRT02C,0.666666666666667
n02949542::B002LN81J6,1
n03418242::B00IFQQ5LO,1
n04142999::B009KBLYDM,1
n03114236::B00IE050Z8,1
n04114844::B00KWHMR6G,1
n03886762::B000CMNJF4,0.666666666666667
n02820675::B00OU0OTVM,1
n03610524::B0002IH01W,0.666666666666667
n03744840::B003RXP5YS,1
n03279153::B00JZEW4XS,1
n03682487::B0011G9TYA,1
n04383130::B0000AQODM,1
n02708433::B00HLG7YF0,1
n03156279::B00GEXJH4W,1
n03537085::B0000AXTVF,0.666666666666667
n03251932::B00C17EKUQ,1
n02809605::B004RSL014,0.75
n07248320::B007HR44O2,0.75
n03604763::B00IQB5TBU,1
n03301940::B00A6U73FY,1
n03886762::B00BV560YI,1
n03367059::B000PRLV9C,1
n02854739::B00GSDXOY2,1
n04356595::B009FR5O2S,1
n04182152::B002YU32I6,1
n03258577::B0013MS0RE,1
n02860415::B00FOXY10I,0.666666666666667
n02814428::B00K60ELRW,1
n03584254::B00J8DL78O,0.75
n02976123::B001VJ1PM6,0.75
n02768655::B00466SJW0,1
n04586932::B00BWKDN0Q,1
n03404360::B00A2DBWMA,1
n04211528::B007SL8VTQ,1
n03085013::B003UT2E8E,1
n04589890::B00004Z13G,1
n02809736::B00M1OV1K6,1
n03966976::B000NNHUK2,1
n04020087::B00FMK9ACM,1
n04023695::B001C1RNLU,1
n03589672::B0028JW4PU,0.75
n03238879::B00J96FY0C,1
n03775546::B0039YQJL8,1
n04251791::B009T29N62,1
n04589890::B001AQ0CWO,1
n02870526::B003QP4CB4,1
n04280259::B003DKQI50,1
n03188725::B001TUZI4I,0.75
n03271574::B000RL3UJA,1
n03505667::B00EDHEUZW,1
n02854739::B00OENCYYE,1
n02933990::B00KMR92N2,0.75
n02732072::B004B2ZMLK,1
n02973017::B0013R66MU,0.75
n02766320::B004V23YKQ,1
n03399761::B005FTX2OC,1
n02995345::B009G5LY6O,1
n03891251::B00KHA64P8,1
n03034663::B003DO4BUA,1
n04164868::B000NPTZNU,1
n03459591::B00004W499,0.75
n03272940::B000TVPCEE,1
n02800213::B0060SZ4B6,1
n02820675::B00G77OBIW,1
n03819994::B00NAB1YHO,1
n04325704::B002DGY6IQ,1
n03075097::B000YB1TV4,1
n03906997::B00J3Q70KU,1
n06267145::B00J9NNHWW,1
n03271260::B007T0W5CA,0.666666666666667
n03623556::B00091PC8A,1
n03314227::B001VXXUWK,0.75
n03045698::B0042UAAN6,1
n03272239::B000TGDGLU,1
n06592421::B00L1XWPD0,0.75
n03302790::B00IT8C50I,1
n03114504::B005N4KGXY,1
n06785654::B00001R3WO,1
n03987376::B006TAP096,1
n03380301::B00IPDD8HG,1
n02957135::B005DZZDNQ,1
n03649674::B00339C3RI,1
n03434285::B002RWK9N2,1
n03688605::B005E8D5D2,1
n03490119::B00D7HC024,1
n04356056::B00CIDDRZM,1
n04397168::B004EI83S0,0.875
n03894677::B004C7RGW2,0.75
n03968293::B000EU4HBO,0.666666666666667
n03639077::B002Y33KYO,1
n03066232::B000CSW79C,1
n02881757::B005MR332I,1
n02892304::B0006MZOBC,1
n02829596::B00L5QE3L0,1
n03887697::B00BGN8PLG,0.75
n04251791::B002UU0N4G,1
n03502331::B00NU2QUHW,1
n03739693::B00MVU3CE8,0.75
n04399046::B00FP2ST9M,1
n03742019::B005QVT5E0,1
n02954163::B00509CQDK,1
n03878674::B008FX7B9M,1
n03528263::B00KGPU1P8,0.666666666666667
n03991646::B00E0IZCS8,1
n04246060::B00ODSRJFO,0.75
n04326896::B003D6F5SU,1
n02898585::B00LPATQHC,1
n04399046::B00BHEEH1G,1
n03543112::B00JLQSI9Y,1
n04236702::B004NY9UXC,1
n03543112::B00KE147N6,1
n03966976::B000FK1R0W,1
n03793489::B00A2UOFWM,1
n04603399::B001MS70Z2,1
n03418242::B0030MIHAU,1
n03704549::B001FY8JXA,1
n02801525::B000HJ76VU,1
n04399046::B00HL81Z1C,1
n04023249::B00004T7WS,1
n04272054::B005P1J1CW,1
n03727837::B005D50MFK,0.666666666666667
n04451818::B00B9FTCOA,1
n03739693::B00KLOBDX8,1
n03002096::B009MQQ7SW,1
n04543509::B001JTAZPG,0.75
n03445617::B00G4EE05W,1
n03378765::B002ZC52H2,1
n03098140::B000VLNXRU,0.666666666666667
n03258577::B00DTGG0NI,1
n02970408::B00LPUWNK4,1
n04272054::B003BW790I,1
n03886762::B004HZDJIE,1
n03914438::B002LLOE8K,1
n04563560::B00GLL2K6E,1
n03055418::B00JOBHMMU,1
n03908618::B006VTOD0M,1
n02666624::B0000X5RUU,1
n03735637::B00DJ4Y1T0,1
n04531098::B00LU499KM,0.666666666666667
n03045698::B00MUKU59E,1
n06277135::B00E1UFQMM,1
n03320421::B0085IJIPC,1
n04004767::B002M1LGJ4,1
n03861048::B00LMACBHW,1
n02730930::B002JM16JG,1
n02949542::B000EQHP3K,1
n02837789::B00KW3TWW2,1
n03374372::B0000AUY91,1
n02732072::B009ZKZHQ8,1
n03894677::B004EHY9QG,1
n04143897::B00AW47OIA,1
n03891251::B000FJ12IK,1
n03017168::B00BP6B59S,1
n04239074::B00BGGI5WW,0.666666666666667
n04206225::B00IX19VC6,1
n04397168::B002SRJIQU,1
n03359436::B00LLER2CS,1
n03779370::B00EQEHKZY,1
n03666591::B00G9GOOBU,1
n03612814::B000V5X826,1
n03309356::B004MMXELY,1
n03231368::B004N7AXF8,0.75
n02735268::B000O5HD9M,1
n03181293::B0044R87BE,1
n03792972::B003R7PU6W,1
n03291741::B0032JZ3EY,1
n03131967::B002QHF50A,1
n04548280::B0062AAUAM,1
n04554871::B00CR8ZRBA,1
n04426316::B00L5ELNY2,1
n03049924::B00F4KOOUI,0.666666666666667
n03793850::B00GU8W5AE,1
n04108268::B000NPPBKQ,0.666666666666667
n03336282::B004ZHMIUY,0.666666666666667
n04207343::B00N6T3OQ4,1
n03906997::B0081WMNCW,1
n03309356::B003HG3TJI,0.75
n04399846::B00CP35G5E,1
n04543509::B003PGRGGW,1
n04409515::B005VQJLIK,1
n03014705::B00CCIMVUK,1
n03108759::B000PB304M,1
n02850358::B00DTW5TWA,0.75
n03320421::B001XZ5IR6,1
n03535024::B00M3ACHFQ,0.75
n02894337::B00200KDJG,1
n02729837::B00L38ON60,1
n03179910::B001S2PKPE,1
n04536866::B003F1TDBS,1
n04325704::B00OK14NTY,1
n03962852::B000CPAFBW,0.75
n02892201::B00I8VSVJ0,0.75
n04154340::B00004YVI5,1
n04534127::B00E9YFB5C,1
n03267113::B000WLW76C,0.75
n03705379::B005HY9QWW,1
n03380647::B00009OYGK,1
n03450230::B00HC07MVG,0.75
n03488438::B00BP7SW0C,0.75
n02963159::B00E8CMPUE,1
n04254777::B00DOOQNV4,1
n02860415::B003QH1JS6,1
n04027023::B0097A8PK6,1
n04350581::B001CDRTNA,0.75
n04579432::B007FUZ2W4,1
n04206225::B001K42BRK,1
n02800213::B0041PCD5K,1
n03643253::B003IZXZCO,0.75
n04204238::B00K4S1D8G,1
n02829596::B000LG5S9G,1
n04197391::B004QV9Z3W,1
n04331892::B0028DJCNI,1
n03080497::B000AU9PMY,1
n02999936::B0052L2JUQ,1
n04605446::B00GDKEMRI,1
n02767147::B00IXJRCMY,1
n03584829::B007HQZO4M,1
n02998003::B000KCUAXA,0.75
n03543112::B00BCQYXRM,1
n02954163::B0006V2B2I,1
n03916031::B000GHWSG6,1
n04409515::B00196P2O8,1
n02976249::B00152OT4U,1
n04197391::B00LO1UXCY,1
n03682877::B000VZKBQC,1
n03333252::B00CM2PIJC,1
n03125729::B008TML9AQ,0.75
n04608435::B003OYOWQW,1
n02824448::B006AARTAI,1
n04211528::B00IGHZ4X2,1
n03236735::B00EJZFBEW,1
n03162818::B003ZEHS4E,1
n03871628::B004N6L9PW,1
n03085602::B00B332A9C,1
n04474466::B00NAB1YHO,1
n03450230::B00KZIMHXU,1
n03761084::B00CP6ZRLO,1
n03271574::B001R1Q0OG,1
n04536866::B000FB6TV8,0.75
n03277459::B002SC3LLS,1
n03017168::B0002EWRIW,1
n03906997::B004I9CZ2U,0.75
n03244047::B004IQ9G5W,1
n04370456::B005CSNTJY,1
n04235860::B0009PUSO4,1
n04230808::B00PXS9I0W,1
n03188725::B00DDMJ0JE,1
n03499907::B002AS4IXU,1
n03667060::B0010CHHE4,0.75
n03302790::B002URM36A,1
n02948072::B00JUGFMPS,1
n02973017::B00162JKH0,1
n03055418::B00D1QY6YQ,1
n03066232::B001O0BJUK,1
n02991048::B00FBMU3UY,1
n03886641::B00BLNIM6E,1
n03336282::B0000DZM3B,1
n04325704::B002XY0RIG,1
n04009552::B00MTFWJVW,1
n03249569::B000COH3LS,1
n03752185::B001RZ9Y4U,1
n04176190::B002N74VX0,1
n03987376::B00005LEN4,1
n03187595::B005D8L2ME,1
n03072201::B00EH2GR7M,0.75
n03617594::B00GU0XHCM,1
n02770585::B000VSKORU,1
n03361109::B00004S7V8,0.666666666666667
n04555897::B00HZKYH4I,1
n02730930::B003KN21NI,1
n04522168::B003NY1522,1
n03018349::B0035HSHBY,1
n03923918::B00FBQQNRM,1
n03533392::B000FVXTD4,1
n03250279::B0002E3L1E,1
n03075370::B000669482,1
n02732072::B007TGMLU0,1
n03513376::B000DZBK6K,0.75
n03739693::B00ELUZF78,1
n03239054::B00M0HJ75A,1
n04519153::B00025675K,1
n03423877::B002YHPVWO,1
n02933340::B004UMAWXY,1
n03657121::B00G97ALA2,1
n04230808::B00MFBCNH0,1
n03563200::B00004Z9BS,1
n03336282::B000LHF4MG,1
n03075097::B000G7AWIM,1
n04593866::B000BYB2K2,1
n03320421::B0085IJQOU,1
n03307792::B008R7FC74,1
n03034663::B000WMDBIE,1
n04556408::B003KQ696A,1
n03727837::B008BW5PHW,1
n03092883::B00546E7MW,1
n02686379::B00IYQXY78,1
n03966976::B000NPR2KI,1
n02809605::B004MFZMI4,1
n03779370::B00000ISLH,0.666666666666667
n03508101::B00LILH47C,0.75
n03502331::B00JMPLGAW,0.75
n03125057::B00J7SZSHG,1
n02949202::B005IV0BJ6,1
n02978881::B008C2915I,0.75
n03404360::B00394Y6Y0,1
n03219483::B00CPHX6WA,1
n02942349::B00HLDFTRS,1
n06267145::B007PSQQNA,0.75
n02881757::B001I0SVX4,1
n04149083::B00H2BTTRU,1
n03761084::B008BXKS14,1
n04315948::B00JGZJJRK,1
n03595614::B00EHFNX4O,1
n04397168::B002DPY5QK,1
n04114844::B00MPI5N7U,1
n03962852::B002KQ5KQ6,0.75
n04228215::B00EPJ1M4K,1
n03885028::B00GNLSXWC,1
n04589434::B002ZTGNH8,1
n03649674::B0042B4AHM,1
n03008976::B00P936188,0.75
n03916031::B000E7WFX4,1
n02933112::B004UMAWXY,1
n04403413::B001VDLZIG,1
n02943241::B00AQUCPFC,1
n02688273::B000VKTUD2,1
n03446268::B007XAF8KM,1
n03075370::B0009V1WMA,1
n03505667::B00CQ35C1Q,1
n02800213::B001MK4LCA,0.75
n03380301::B002FAG962,1
n04116098::B001JT1IMA,1
n03456024::B008JCGBVI,1
n03018349::B0009GVL4Y,1
n02840134::B00KSIFHLQ,0.75
n02817031::B002VY1QBK,1
n04350905::B00FA7ZM2O,1
n04023695::B003QAFBNM,1
n02898585::B00BNOAMEQ,1
n04249415::B001BEGWSS,1
n03923918::B000HQ1PGU,1
n06591815::B0000282R9,0.666666666666667
n04057981::B001F1UFR6,1
n04533946::B0009GPEPQ,0.75
n03918480::B00I02J4SO,1
n03339643::B003UH9I2G,1
n03456024::B00CNZOEWA,1
n03923918::B00FAWWCZY,1
n04099969::B001TQMZWU,1
n03490884::B0037KMSRI,1
n03075097::B00429BV3K,1
n03145522::B005ECZU9U,1
n04608435::B000817DKG,1
n03604763::B00EAK3HF6,0.75
n02970408::B00G2D66KW,1
n03653583::B00H2JEEYU,1
n03938244::B000BHCNYI,1
n03792782::B001DF68MA,1
n03536761::B001BSC4AY,1
n02910353::B00A1ZF27U,0.666666666666667
n04255163::B000M5WT02,0.666666666666667
n04225987::B004JRIVCO,1
n02837789::B00KR2NM7E,1
n02689274::B002U93HMW,1
n03239054::B00421BJXU,1
n04409515::B001OBKB9Y,1
n03873848::B00HVPN45U,0.75
n03125057::B003374OWW,1
n03063199::B0001IRRLQ,1
n04350905::B00CS9G1GI,1
n03430551::B000V0KYQY,0.75
n04009801::B00G46X0OM,1
n03187595::B003XMA9IU,1
n04147495::B000ANFDOK,1
n03772584::B0000BX8L1,1
n03418242::B000DZH3XO,1
n04462011::B003R50PMS,0.75
n02910353::B0082J11SQ,1
n04370456::B0055NSTPA,0.75
n03080497::B005NHTPWO,1
n02901114::B00062NH8O,1
n03902220::B0002ZPUD0,1
n02887209::B00JNIV0FY,1
n02954163::B003C4TLM4,1
n02943241::B003MOHM0C,1
n03456024::B001RTSJ7Y,1
n02788021::B00772ZPCW,1
n02809491::B00AKX1PQU,1
n03779370::B00114OTXI,1
n04397168::B000MM79X2,1
n03589672::B000CO86EG,1
n02854739::B006H6YG9M,1
n03108759::B003AN7EW6,1
n03857828::B006G54K3G,0.75
n04102618::B000GVKJU4,1
