assignId,workerId,item,noun,synid,rigid
3MB8LZR5BFTV6A6A7P3L2TTGRWZKL1,AKY7ZFPCHAXMJ,floor::n03365991,floor,n03365991,1
3NS0A6KXC48A9DRVWZ9FCGCLZO4GZR,ASOMUNJGAOF12,floor::n03365991,floor,n03365991,1
3ATPCQ38J8A9UW4NEDFM2NSGVZOYA7,A33QXQVY6GU1FI,floor::n03365991,floor,n03365991,1
3U5NZHP4LR2UV5K0TWTV6IM84QTHPR,A1E22QCQI1XPV8,floor::n03365991,floor,n03365991,1
3R2PKQ87NW8O6XY77YJOPQTSZYXIMP,A3K43RI91Y567E,floor::n03365991,floor,n03365991,1
3HSYG7LRBJYKM4OSMPRKNTG12WYKK2,A2LJ7A9BSPT2V3,compact::n03079136,compact,n03079136,1
3ZDAD0O1T1DP9NDMFHK1EEBZHI4XTA,A3KJDCO0VTCSJE,compact::n03079136,compact,n03079136,1
354GIDR5ZB6GWOAKE37KLPMJA0O008,A3DJSZ7KSUZRV0,compact::n03079136,compact,n03079136,1
3XC1O3LBOSMU9TWX1YHD3KGCA9XLTF,A3TO0WROWG5SCH,compact::n03079136,compact,n03079136,1
3VNXK88KKCIELJZDHWE2ZTD2700V9C,A3H0TLQC53H5MB,compact::n03079136,compact,n03079136,1
30LB5CDZNCADY9GAIXKCROP5S730ZW,A16LPX01HY8OYY,caterpillar::n02983507,caterpillar,n02983507,1
3VD82FOHKQOLTXXJS42F6RK2HSXCOZ,A3RVYJNYREMTAH,caterpillar::n02983507,caterpillar,n02983507,1
3TOK3KHVJTIFHG2N1NU4Q5SOGH8O7K,A3RUUTINBKU8YE,caterpillar::n02983507,caterpillar,n02983507,1
3LQ8PUHQFLS2EJXWG13BXLLWICQHI7,ALDQRWYZ8KQ9A,caterpillar::n02983507,caterpillar,n02983507,1
3S3AMIZX3U5UP06U2VOZVX83DFJCDX,A2JCHN90PRUWDH,caterpillar::n02983507,caterpillar,n02983507,1
3QJOXOW4XJRCQSWLBFTX4BV0743EMN,A2SP6LKNHENYZ,module::n03778817,module,n03778817,1
3RANCT1ZVFHXWXPAAQITUD69HTWUBY,AJH0YOW6PLSS8,module::n03778817,module,n03778817,1
3FDJT1UU748H4L3PF2NEL4XJ56FK5T,AFHSUL1MD32,module::n03778817,module,n03778817,1
3B3WTRP3DB25OS1BTMURXOGRA2H29L,A2BVMCRLV6L8CE,module::n03778817,module,n03778817,1
3LUY3GC63Z0X2GEOGN7JF5XEQNXP7X,ABUU4QXC2IU4G,module::n03778817,module,n03778817,1
3YW4XOSQKQLWJZ7I8TP4O1T0VH6U1G,AFHSUL1MD32,print::n04003856,print,n04003856,0
36PW28KO4ZWBORNWEC3SVK00DOVEAM,A1XJ9VFOJ4LP2X,print::n04003856,print,n04003856,1
382M9COHEHFV301UKHKJVLCUKRREU2,A7S1LPG1G9XQQ,print::n04003856,print,n04003856,0
3E4GGUZ1T8RP5OK2XJLGNXU7LX5K2B,A121AVWOTPPJ97,print::n04003856,print,n04003856,0
34HJIJKLP5WDODT101IBIL2ML9D4VI,A3RU7N8PPB8ZRQ,print::n04003856,print,n04003856,0
3R3YRB5GRF3SDNKI4CIXZ2M3ZBZAU7,A3RVYJNYREMTAH,weapon::n04565375,weapon,n04565375,1
34T446B1C0E0QG50QJ04GQOKJPG0CW,A1G3KH4F058XY0,weapon::n04565375,weapon,n04565375,1
31Q0U3WYDPFULOVMVLWTE9FGN6V177,AKY7ZFPCHAXMJ,weapon::n04565375,weapon,n04565375,1
3E1QT0TDFP99L8W3DX95K8SXFSDI84,AOGT0KZDUX8CC,weapon::n04565375,weapon,n04565375,1
3MB8LZR5BFTV6A6A7P3L2TTGRW7LKA,A1REI6H0566OKD,weapon::n04565375,weapon,n04565375,1
3BQU611VFPKGOCMAEV967BO5G87990,A1N8SWL57W43PV,interface::n03578656,interface,n03578656,1
3LOTDFNYA7Z01IQVASJQVRIRH7VFWW,A2SP6LKNHENYZ,interface::n03578656,interface,n03578656,1
3O7L7BFSHEPQU96UQ0V5CIOJQVMEIA,A3S0GG7SAIKA5F,interface::n03578656,interface,n03578656,1
3DY46V3X3PIEM2IM8FJ8JFE18GJ55S,A2U5T9Q7DGNHKF,interface::n03578656,interface,n03578656,1
3EWIJTFFVO7FNEPEMA6Z6EON41CE0M,A26RVEIB8UZ2YX,interface::n03578656,interface,n03578656,1
3GS6S824SQXCPA3C8G233WR0JYBNW5,A1PNB9ZYT2EI9A,canvas::n02953673,canvas,n02953673,0
33NF62TLXJ2PBKIA44R8MEGON7ZJK3,ACAA5LW6X9L5U,canvas::n02953673,canvas,n02953673,0
3WMOAN2SRBXZAL37I6X7HU8MCPENV0,A2RKP0JD5ORZMU,canvas::n02953673,canvas,n02953673,0
3RGU30DZTA8K18IDPG4O1R8SCC6MJN,A1YRJS6F2UNM3O,canvas::n02953673,canvas,n02953673,1
33JKGHPFYCUGKY9Y4EWGUYP9LWDMNT,A2NS34E7IMM7V6,canvas::n02953673,canvas,n02953673,0
3Z4AIRP3C6DO031DDY0R88S4PZLX19,A3S0GG7SAIKA5F,memory::n03744276,memory,n03744276,1
35L9RVQFCOI7NASWAISPGO97C65HU5,A10332712P16VRQN6VTSL,memory::n03744276,memory,n03744276,1
373ERPL3YO85CRRA6IE9PWPBG1YRTN,A2CHFNALW75F5W,memory::n03744276,memory,n03744276,1
3907X2AHF05QGFHIABQOJEG6F602PH,ALDQRWYZ8KQ9A,memory::n03744276,memory,n03744276,1
3VHP9MDGRNKRNKKQT1JPJXBOPRRCFY,ACD6ZC8WKL83E,memory::n03744276,memory,n03744276,1
351SEKWQS0H7YMILFKIDYTDF7SVDMM,A3RVYJNYREMTAH,launch::n03647423,launch,n03647423,1
3A1PQ49WVHHRED1Y8UI55M4A19V1HD,A1CCZVA7NFSI4E,launch::n03647423,launch,n03647423,1
3ZQIG0FLQEGPXFCLA7OUDDLD51QWV8,A2T3I00ZYHROBY,launch::n03647423,launch,n03647423,1
3DBQWDE4Y6YICROSCFFUDWENZ1ON55,A2BVMCRLV6L8CE,launch::n03647423,launch,n03647423,1
3C5W7UE9CFQLWSN26KJPS0G7NANXMO,ALDQRWYZ8KQ9A,launch::n03647423,launch,n03647423,1
39KFRKBFINVYW0YOOWK43ICLKGEOYI,A4UVNGSXE2ANA,tie::n04433377,tie,n04433377,1
3J4Q2Z4UTY3XS7G4O8UK7QM5O9XWQ0,A1ZQUQ98LMO53P,tie::n04433377,tie,n04433377,1
3ERMJ6L4DYSRHDHBO7FRY13JLHT7MO,A3RVYJNYREMTAH,tie::n04433377,tie,n04433377,1
3F0BG9B9MPNRBU6P7A32SWQQURA7YH,A11LHUEJVFS0Q1,tie::n04433377,tie,n04433377,1
3J2UYBXQQLCBAZWZGSN1UQWAN3K06J,AFHSUL1MD32,tie::n04433377,tie,n04433377,1
3IO1LGZLK9XTSO12BW0GN52S61K862,ATDTDYACIYC97,pack::n03870546,pack,n03870546,0
3SITXWYCNV9PD1J5FVTGEK5DBBMBXG,A2BVMCRLV6L8CE,pack::n03870546,pack,n03870546,0
34T446B1C0E0QG50QJ04GQOKJQ3C0X,A21TQFGCI3GF18,pack::n03870546,pack,n03870546,0
3PB5A5BD0V6RP3LPD4HWLWJMPW6G7G,A406FK314H3MX,pack::n03870546,pack,n03870546,1
3TR2532VIPUIC5XL20X7CVB6MD66JE,ABUU4QXC2IU4G,pack::n03870546,pack,n03870546,0
