assignmentid	workerid	Answer.task	Answer.myanswersA	Answer.myanswersC
3MTMREQS4VIQELAITITFB48PYK9WAM	A7NNR8ZAMCKLU	"n04118635::ruin,n02758134::auditorium,n04131015::salon,n04160036::sealing wax,n02807731::bathroom,n04559910::water glass,n03456186::grey,n03337494::file server,n04514648::upper berth,n03273740::electric range"	::0::0::0::1::0::1::1::1::0::0	::1::1::1::0::1::1::0::1::0::1
3GM6G9ZBKNXZO5FDVGE9XBWQO7GMT6	AQORJW4W8U9YU	"n04131015::salon,n03456186::grey,n04559910::water glass,n03337494::file server,n04514648::upper berth,n04118635::ruin,n03273740::electric range,n04160036::sealing wax,n02758134::auditorium,n02807731::bathroom"	::0::0::0::0::0::0::1::0::0::0	::1::1::1::1::1::1::1::1::1::1
39OWYR0EPKRPZHMQJZXVA24W68SYF6	AWY5WM7BEBZD8	"n02758134::auditorium,n02807731::bathroom,n03273740::electric range,n04118635::ruin,n04131015::salon,n03456186::grey,n04559910::water glass,n04160036::sealing wax,n03337494::file server,n04514648::upper berth"	::0::0::1::0::0::0::1::1::0::0	::1::1::1::0::0::0::1::1::0::0
37UQDCYH6XVVGUCFW5CZFBNLQ38V7R	A2I159VITLD19Y	"n04160036::sealing wax,n04514648::upper berth,n04559910::water glass,n03337494::file server,n04131015::salon,n02758134::auditorium,n03273740::electric range,n02807731::bathroom,n03456186::grey,n04118635::ruin"	::1::0::1::1::0::0::1::0::0::0	::0::1::1::1::1::1::1::1::0::1
3G2UL9A02DEA14XEVX4R3J7M9AH76C	A2UHEMRALXKUCF	"n03337494::file server,n03456186::grey,n02807731::bathroom,n02758134::auditorium,n04131015::salon,n04514648::upper berth,n04118635::ruin,n03273740::electric range,n04160036::sealing wax,n04559910::water glass"	::1::1::0::0::0::0::0::1::1::1	::1::0::1::1::1::1::1::1::1::1
3TE3O857308W1MYSH9QUINHAUHX2RD	A1G187YBG0DVMQ	"n03539433::horseshoe,n03838298::objective,n03399677::front porch,n04335209::street,n03043274::clinic,n03605417::jump seat,n02688273::air filter,n03544238::hour hand,n04072193::regulator,n02806379::bat"	::1::1::0::0::0::0::1::0::0::1	::1::0::1::0::1::1::1::0::1::1
3STRJBFXOWR4YHFAA41TIY4MZ2GTK3	A2SPF0XH4LNRK1	"n03399677::front porch,n04335209::street,n03043274::clinic,n02806379::bat,n03539433::horseshoe,n03544238::hour hand,n02688273::air filter,n03838298::objective,n03605417::jump seat,n04072193::regulator"	::0::0::0::1::1::0::1::1::1::1	::1::1::1::1::1::1::1::1::1::1
3WQQ9FUS6AUK7UJS1TD5SZP9YVS8BF	A2C57JVPIOH7F2	"n02806379::bat,n04072193::regulator,n03544238::hour hand,n03838298::objective,n03539433::horseshoe,n03043274::clinic,n03605417::jump seat,n03399677::front porch,n02688273::air filter,n04335209::street"	::1::1::1::1::1::0::1::0::1::0	::1::1::1::1::1::1::1::1::1::1
340UGXU9DY1XE5OB9D5AP315YE7UVU	A2OXXHGAM7B0Y	"n03399677::front porch,n03605417::jump seat,n03544238::hour hand,n02688273::air filter,n04335209::street,n03539433::horseshoe,n04072193::regulator,n02806379::bat,n03838298::objective,n03043274::clinic"	::0::0::1::1::0::1::1::1::1::0	::1::1::1::1::1::1::1::1::1::1
3N1FSUEFL50C3QUA3MEY6DX4ZUFD4R	A2MQ6VUSKCQ9FH	"n04072193::regulator,n03043274::clinic,n03544238::hour hand,n02806379::bat,n03539433::horseshoe,n03605417::jump seat,n03399677::front porch,n02688273::air filter,n04335209::street,n03838298::objective"	::1::0::0::1::1::0::0::1::0::0	::1::1::1::1::1::1::1::1::1::0
36W0OB37HWE9I3N1ABNERUPBSHYZHL	A2SPF0XH4LNRK1	"n04301000::stand,n03082979::computer,n03085219::computer monitor,n04236377::sleeve,n02860847::bobsled,n03842156::office furniture,n03906997::pen,n04285008::sports car,n03096960::control,n02880940::bowl"	::1::1::1::0::1::1::1::0::1::1	::1::1::1::1::1::0::1::1::1::1
3R6P78PK7KBZWVJRKDGEK6CTSL4GTS	AWY5WM7BEBZD8	"n03085219::computer monitor,n04301000::stand,n03906997::pen,n04285008::sports car,n03842156::office furniture,n03082979::computer,n02860847::bobsled,n03096960::control,n02880940::bowl,n04236377::sleeve"	::1::1::1::0::1::1::0::1::1::0	::1::1::1::1::1::1::1::0::1::1
3PW9OPU9PQK88HZBJFBFCWZXQJE12R	A2OXXHGAM7B0Y	"n03096960::control,n03906997::pen,n03085219::computer monitor,n04285008::sports car,n02860847::bobsled,n02880940::bowl,n03082979::computer,n04301000::stand,n04236377::sleeve,n03842156::office furniture"	::1::1::1::0::0::1::1::1::0::1	::1::1::1::1::1::1::1::1::1::0
33F859I566DD05KL4X7B5CI81ENHB8	A2UHEMRALXKUCF	"n04236377::sleeve,n03085219::computer monitor,n02880940::bowl,n04301000::stand,n03842156::office furniture,n03906997::pen,n04285008::sports car,n03096960::control,n03082979::computer,n02860847::bobsled"	::1::1::1::1::1::1::0::1::1::0	::1::0::1::1::0::1::1::1::1::1
3LUY3GC63Z0IBAFJAT309JY34F7P70	A347XXV5JH19PB	"n03842156::office furniture,n04285008::sports car,n02860847::bobsled,n03085219::computer monitor,n02880940::bowl,n04236377::sleeve,n03906997::pen,n03096960::control,n03082979::computer,n04301000::stand"	::0::0::0::1::1::0::1::1::1::1	::0::1::1::1::1::1::1::1::1::1
32ZKVD547FNY6XDMPCI91IHYI9X3BF	A1G187YBG0DVMQ	"n03436891::gig,n02889646::brake,n04139859::savings bank,n02795169::barrel,n03543603::hot tub,n06596474::news magazine,n03592245::jail,n06271778::telecommunication,n04085017::reverse,n03201638::dinner dress"	::0::0::0::1::0::0::0::0::0::1	::0::1::1::1::1::1::0::0::0::1
3NVC2EB65QZUJ56XZ4WT9TFZ3IM3Y1	A347XXV5JH19PB	"n03592245::jail,n06271778::telecommunication,n03543603::hot tub,n02795169::barrel,n03436891::gig,n04085017::reverse,n04139859::savings bank,n02889646::brake,n06596474::news magazine,n03201638::dinner dress"	::0::0::1::1::0::0::1::1::1::1	::1::0::1::1::1::0::1::1::1::1
3WQQ9FUS6AUK7UJS1TD5SZP9YVY8BL	A2UHEMRALXKUCF	"n03436891::gig,n06596474::news magazine,n03543603::hot tub,n02889646::brake,n04085017::reverse,n03201638::dinner dress,n03592245::jail,n06271778::telecommunication,n02795169::barrel,n04139859::savings bank"	::0::1::1::1::1::1::0::0::1::1	::1::1::1::1::1::1::1::0::1::1
3T3IWE1XG6NQ9KD5N9LQEKGVY8KQT4	A2OXXHGAM7B0Y	"n03592245::jail,n04085017::reverse,n02889646::brake,n03201638::dinner dress,n04139859::savings bank,n06271778::telecommunication,n03436891::gig,n02795169::barrel,n06596474::news magazine,n03543603::hot tub"	::0::1::1::1::1::0::1::1::1::1	::1::1::1::1::1::0::1::1::1::1
32RIADZISS4I5FDS0C9N1CJ40XPS40	A2I159VITLD19Y	"n04085017::reverse,n03201638::dinner dress,n06271778::telecommunication,n03592245::jail,n02889646::brake,n02795169::barrel,n04139859::savings bank,n03436891::gig,n06596474::news magazine,n03543603::hot tub"	::0::1::0::0::1::1::1::1::1::1	::0::1::0::1::1::1::1::1::1::1
3U84XHCDICDF6RZ6V43VX5G7NCF4Z7	A2TDGWWPX6IMIZ	"n02757061::audio cd,n02788021::banner,n03722007::marker,n03209666::disk drive,n04358707::supermarket,n04245508::small stores,n04545984::walk-in,n03430551::gear,n03046257::clock,n04345201::study hall"	::1::0::1::1::0::0::0::0::1::0	::1::1::1::1::1::0::1::1::1::1
3Q5C1WP23M107EIY1YDDA329ATX15K	AQORJW4W8U9YU	"n03722007::marker,n03046257::clock,n04345201::study hall,n04245508::small stores,n04358707::supermarket,n02788021::banner,n03209666::disk drive,n03430551::gear,n02757061::audio cd,n04545984::walk-in"	::1::1::0::0::0::0::1::1::1::0	::1::1::1::1::1::1::1::1::1::1
3483FV8BEEJ3F308PLNW7SQEYUV62V	A2UHEMRALXKUCF	"n02788021::banner,n03046257::clock,n02757061::audio cd,n03430551::gear,n03722007::marker,n04545984::walk-in,n04245508::small stores,n04358707::supermarket,n04345201::study hall,n03209666::disk drive"	::1::1::1::1::1::0::0::0::0::1	::1::1::1::1::1::1::0::1::1::1
3R9WASFE2ZGP47WVFLZEO9DYC2XZFZ	A2OXXHGAM7B0Y	"n04245508::small stores,n03430551::gear,n04358707::supermarket,n04545984::walk-in,n04345201::study hall,n02757061::audio cd,n03209666::disk drive,n02788021::banner,n03046257::clock,n03722007::marker"	::0::1::0::0::0::1::1::1::1::1	::1::1::1::1::1::1::1::1::1::1
31HQ4X3T3SAE3NKD6484NTLFMJKSLT	A347XXV5JH19PB	"n03046257::clock,n04345201::study hall,n02788021::banner,n02757061::audio cd,n04545984::walk-in,n04245508::small stores,n04358707::supermarket,n03722007::marker,n03209666::disk drive,n03430551::gear"	::1::0::1::1::0::0::0::1::1::1	::1::1::1::1::1::0::1::1::1::1
3MB8LZR5BFTGF4751VZ2W7U55PULKS	A1G187YBG0DVMQ	"n03438661::glass,n03098688::control room,n03379204::football stadium,n04567746::weather ship,n04002629::primary coil,n04394261::target,n04077889::research center,n03436990::gig,n04176528::set,n03574816::instrument"	::0::0::0::0::1::1::0::0::1::1	::1::1::1::1::1::1::1::0::1::1
3JPSL1DZ5SZ0RR141H2SFLVY582NAJ	A757KD6CSFAKF	"n04002629::primary coil,n03379204::football stadium,n04394261::target,n04567746::weather ship,n04077889::research center,n03574816::instrument,n03098688::control room,n03436990::gig,n03438661::glass,n04176528::set"	::1::0::1::0::0::1::0::0::1::0	::1::1::1::1::1::1::1::1::1::0
3NAPMVF0ZWFMJ3ED8VSOD6QAT5772N	AWY5WM7BEBZD8	"n03098688::control room,n04077889::research center,n03436990::gig,n04176528::set,n04002629::primary coil,n03574816::instrument,n04394261::target,n04567746::weather ship,n03379204::football stadium,n03438661::glass"	::0::0::0::1::1::1::1::0::0::1	::1::1::0::1::1::1::1::0::1::1
3K9FOBBF2HJHNAS8Y8RIOZB9ZK3NL3	A7NNR8ZAMCKLU	"n04077889::research center,n04002629::primary coil,n03574816::instrument,n04394261::target,n03438661::glass,n03098688::control room,n03379204::football stadium,n04176528::set,n04567746::weather ship,n03436990::gig"	::0::1::1::1::1::0::0::1::0::0	::1::1::1::1::1::1::1::1::1::1
3TE3O857308W1MYSH9QUINHAUH52RL	A347XXV5JH19PB	"n03379204::football stadium,n04002629::primary coil,n03574816::instrument,n04176528::set,n03438661::glass,n03098688::control room,n03436990::gig,n04394261::target,n04567746::weather ship,n04077889::research center"	::0::1::1::0::0::0::0::0::0::0	::1::1::1::0::0::0::0::0::1::1
39OWYR0EPKRPZHMQJZXVA24W68JYFX	A10805127APU0J	"n04152593::screen,n03648219::laundry,n04118776::rule,n04461437::town hall,n04014297::protective covering,n02955540::caparison,n04164002::secondary coil,n04256891::softball,n02784998::band,n04078955::reset"	::1::0::0::0::1::1::1::1::1::0	::1::1::0::1::1::1::1::1::0::0
3QILPRALQ5VM838P4JIEJUP3FKAN8N	A2LKQQ3GNDQ017	"n04152593::screen,n02955540::caparison,n03648219::laundry,n04014297::protective covering,n04078955::reset,n04118776::rule,n04164002::secondary coil,n04256891::softball,n04461437::town hall,n02784998::band"	::1::1::0::1::0::1::1::1::0::1	::1::1::0::0::0::1::1::0::1::1
3Z3ZLGNNSIULA3FB8UFZW7CX4973Q0	A2SPF0XH4LNRK1	"n04461437::town hall,n04014297::protective covering,n04118776::rule,n04152593::screen,n04078955::reset,n03648219::laundry,n04256891::softball,n02955540::caparison,n02784998::band,n04164002::secondary coil"	::0::1::1::1::0::0::1::1::1::1	::1::1::1::1::1::0::1::0::1::1
33C7UALJVLYJUW10ZWKGMNC0CJ718V	A2MQ6VUSKCQ9FH	"n04014297::protective covering,n04164002::secondary coil,n04152593::screen,n04256891::softball,n02784998::band,n04461437::town hall,n04118776::rule,n03648219::laundry,n02955540::caparison,n04078955::reset"	::1::1::1::1::1::0::1::0::1::0	::0::1::1::1::1::1::1::0::1::0
3H7XDTSHKCRROCNLFILP7QJSWFVGWR	A2OXXHGAM7B0Y	"n04164002::secondary coil,n02784998::band,n03648219::laundry,n04256891::softball,n04461437::town hall,n04014297::protective covering,n04118776::rule,n02955540::caparison,n04078955::reset,n04152593::screen"	::1::1::0::1::0::1::1::1::0::1	::1::1::0::1::1::1::1::1::1::1
3G0WWMR1UVKSE78LQDZE5LA39QNQNS	A36LOA6VLJU157	"n02672371::accommodation,n03733644::measure,n04475631::travel iron,n04330340::stove,n13897996::balance,n03709644::mail,n03224893::dormitory,n03855604::o ring,n04493109::try square,n03956922::plant"	::0::1::1::1::0::0::0::1::1::0	::0::0::1::1::0::0::0::1::1::1
317HQ483I7SFX9K2D5U5WJJHIGANIQ	AWY5WM7BEBZD8	"n04493109::try square,n03733644::measure,n04330340::stove,n03855604::o ring,n03709644::mail,n13897996::balance,n02672371::accommodation,n04475631::travel iron,n03956922::plant,n03224893::dormitory"	::1::0::1::1::0::0::0::1::0::0	::1::0::1::1::0::0::0::1::1::0
3NGMS9VZTLIJZQ5VE957LHXG0XXFFL	A2OXXHGAM7B0Y	"n04493109::try square,n03855604::o ring,n03224893::dormitory,n02672371::accommodation,n03733644::measure,n13897996::balance,n03709644::mail,n03956922::plant,n04330340::stove,n04475631::travel iron"	::1::1::0::0::1::0::0::0::1::1	::1::1::1::1::1::1::0::1::1::1
32EYX73OY095LY7U0T00O6C2D8VUR2	A2SPF0XH4LNRK1	"n02672371::accommodation,n03855604::o ring,n13897996::balance,n03709644::mail,n04493109::try square,n03224893::dormitory,n04475631::travel iron,n03956922::plant,n04330340::stove,n03733644::measure"	::0::1::0::1::1::0::1::0::1::1	::1::1::0::1::1::1::1::1::1::1
3RGU30DZTA85A2J8JM05V59HQ5YMJA	A347XXV5JH19PB	"n03733644::measure,n04330340::stove,n02672371::accommodation,n03224893::dormitory,n04493109::try square,n03855604::o ring,n03709644::mail,n03956922::plant,n04475631::travel iron,n13897996::balance"	::0::1::0::0::1::1::0::0::1::1	::0::1::0::1::1::1::1::1::1::1
3CFJTT4SXTQQUOSFXYDG0MXRI187I2	AWY5WM7BEBZD8	"n03871371::package store,n03315805::facing,n02965783::car mirror,n04197781::shirt button,n04033557::queen post,n02782778::ballpark,n04556408::watch cap,n06266878::news photography,n02982515::cat box,n03953020::place of business"	::0::0::1::1::0::0::1::0::1::0	::1::0::1::1::1::1::1::0::1::0
3X87C8JFV6BPUK0QY9G04FK9WP3QSC	A347XXV5JH19PB	"n04033557::queen post,n03871371::package store,n03953020::place of business,n04556408::watch cap,n04197781::shirt button,n02782778::ballpark,n03315805::facing,n02982515::cat box,n02965783::car mirror,n06266878::news photography"	::0::0::0::1::1::0::0::1::1::0	::1::1::1::1::1::1::0::1::1::0
3EICBYG644WS1G7H6X6RS945WRTJCO	A2MQ6VUSKCQ9FH	"n06266878::news photography,n02982515::cat box,n03871371::package store,n04197781::shirt button,n02782778::ballpark,n04033557::queen post,n03315805::facing,n04556408::watch cap,n03953020::place of business,n02965783::car mirror"	::0::1::0::1::0::0::0::1::0::1	::0::1::1::1::1::1::0::1::1::1
3WYP994K17RTGOTFI6URGWRJD9S6YE	A2OXXHGAM7B0Y	"n04556408::watch cap,n06266878::news photography,n04197781::shirt button,n03953020::place of business,n02982515::cat box,n04033557::queen post,n03871371::package store,n02965783::car mirror,n03315805::facing,n02782778::ballpark"	::1::0::1::0::1::0::0::1::0::0	::1::0::1::1::1::1::1::1::0::1
3A9AA95ATWM3O610M0O3BZK7D9EP5N	A2C57JVPIOH7F2	"n02782778::ballpark,n02982515::cat box,n03315805::facing,n03953020::place of business,n03871371::package store,n04197781::shirt button,n02965783::car mirror,n04556408::watch cap,n04033557::queen post,n06266878::news photography"	::0::1::0::0::0::1::1::1::0::0	::1::1::0::1::1::1::1::1::1::1
38BQUHLA9W0JBDA5ZZSA31Q3PZWOMJ	A1G187YBG0DVMQ	"n03528100::home,n03307792::external drive,n04152593::screen,n04372370::switch,n04146614::school bus,n04446276::toilet,n03063968::coffee table,n04205062::short iron,n03209477::disk controller,n04204347::shopping cart"	::0::1::1::1::0::0::1::1::1::0	::0::1::1::1::1::1::1::1::1::1
3ATTHHXXWAOK93Y6FBHEULAFKUIIX3	A2AJWXDQP805QJ	"n03063968::coffee table,n04205062::short iron,n04372370::switch,n03307792::external drive,n04152593::screen,n03528100::home,n04446276::toilet,n04146614::school bus,n04204347::shopping cart,n03209477::disk controller"	::1::1::1::1::1::0::1::0::0::1	::1::1::1::1::1::0::1::1::1::1
3JCG6DTRV3QDH4LD65RV9F58E1CQQH	A1WR2AKX164FZO	"n04204347::shopping cart,n04205062::short iron,n04152593::screen,n03063968::coffee table,n04372370::switch,n03209477::disk controller,n04146614::school bus,n03528100::home,n03307792::external drive,n04446276::toilet"	::0::1::1::1::1::1::0::0::1::1	::1::1::1::1::1::1::1::1::1::1
37UQDCYH6XVVGUCFW5CZFBNLQ337VY	A1DLTQZ0A87CQ6	"n04205062::short iron,n04146614::school bus,n03307792::external drive,n03209477::disk controller,n03063968::coffee table,n03528100::home,n04152593::screen,n04204347::shopping cart,n04446276::toilet,n04372370::switch"	::1::0::1::1::1::0::1::0::0::0	::1::1::1::1::1::1::1::1::1::0
33OOO72IVHLMFJ3MIRKVUFREUTFTCY	A2OXXHGAM7B0Y	"n04372370::switch,n04204347::shopping cart,n04205062::short iron,n04146614::school bus,n03209477::disk controller,n03528100::home,n04446276::toilet,n03063968::coffee table,n03307792::external drive,n04152593::screen"	::1::1::1::0::1::0::1::1::1::1	::1::1::1::1::1::1::1::1::1::1
3TAYZSBPLL8821Y5WYQZ8XM6GJHS2S	A3N8JP3QR3VPE8	"n03786096::morning dress,n03078995::compact,n03018209::china,n02865665::bolt,n02735688::area,n04154938::screw thread,n04566257::weaponry,n03243218::drive,n04107743::room light,n03337140::file"	::0::1::1::1::0::1::0::1::0::1	::0::1::1::1::0::1::1::0::1::1
