workerid,input_measurement,user_ranking,our_ranking,object_name,multiplier,multScore,multScore_w,normFam,normFam_w,normV,normV_w,totalScore,,,,,,,,,
A154X03NKVZZL1,1,1,2,water_bottle,2.6,0,0,0.255,1.275,0.51,1.02,2.295,,,,,,,,,
A154X03NKVZZL1,1,2,1,soccer_ball,1.3,0,0,0.185,0.925,0.4,0.8,1.725,,,,,,,,,
A154X03NKVZZL1,1,3,6,cd_drive,1.3,0,0,0.45,2.25,0.41,0.82,3.07,,,,,,,,,
A154X03NKVZZL1,1,4,7,car_mirror,1.7,0,0,0.395,1.975,0.56,1.12,3.095,,,,,,,,,
A154X03NKVZZL1,1,5,5,walking_shoe,1.7,0,0,0.4,2,0.49,0.98,2.98,,,,,,,,,
A154X03NKVZZL1,1,6,8,c_battery,1.4,0,0,0.285,1.425,0.94,1.88,3.305,,,,,,,,,
A154X03NKVZZL1,1,7,3,headset,1.4,0,0,0.305,1.525,0.42,0.84,2.365,,,,,,,,,
A154X03NKVZZL1,1,8,4,rugby_ball,1.2,0,0,0.39,1.95,0.31,0.62,2.57,,,,,,,,,
A16KDMZ7CEDHNV,1,1,5,walking_shoe,1.7,0,0,0.4,2,0.49,0.98,2.98,,,,,,,,,
A16KDMZ7CEDHNV,1,2,4,rugby_ball,1.2,0,0,0.39,1.95,0.31,0.62,2.57,,,,,,,,,
A16KDMZ7CEDHNV,1,3,7,car_mirror,1.7,0,0,0.395,1.975,0.56,1.12,3.095,,,,,,,,,
A16KDMZ7CEDHNV,1,4,3,headset,1.4,0,0,0.305,1.525,0.42,0.84,2.365,,,,,,,,,
A16KDMZ7CEDHNV,1,5,8,c_battery,1.4,0,0,0.285,1.425,0.94,1.88,3.305,,,,,,,,,
A16KDMZ7CEDHNV,1,6,1,soccer_ball,1.3,0,0,0.185,0.925,0.4,0.8,1.725,,,,,,,,,
A16KDMZ7CEDHNV,1,7,6,cd_drive,1.3,0,0,0.45,2.25,0.41,0.82,3.07,,,,,,,,,
A16KDMZ7CEDHNV,1,8,2,water_bottle,2.6,0,0,0.255,1.275,0.51,1.02,2.295,,,,,,,,,
A1BWS5AD2T4NIR,1,1,2,water_bottle,2.6,0,0,0.255,1.275,0.51,1.02,2.295,,,,,,,,,
A1BWS5AD2T4NIR,1,2,5,walking_shoe,1.7,0,0,0.4,2,0.49,0.98,2.98,,,,,,,,,
A1BWS5AD2T4NIR,1,3,1,soccer_ball,1.3,0,0,0.185,0.925,0.4,0.8,1.725,,,,,,,,,
A1BWS5AD2T4NIR,1,4,6,cd_drive,1.3,0,0,0.45,2.25,0.41,0.82,3.07,,,,,,,,,
A1BWS5AD2T4NIR,1,5,3,headset,1.4,0,0,0.305,1.525,0.42,0.84,2.365,,,,,,,,,
A1BWS5AD2T4NIR,1,6,8,c_battery,1.4,0,0,0.285,1.425,0.94,1.88,3.305,,,,,,,,,
A1BWS5AD2T4NIR,1,7,4,rugby_ball,1.2,0,0,0.39,1.95,0.31,0.62,2.57,,,,,,,,,
A1BWS5AD2T4NIR,1,8,7,car_mirror,1.7,0,0,0.395,1.975,0.56,1.12,3.095,,,,,,,,,
A1C6BL1O5L5LA9,1,1,8,c_battery,1.4,0,0,0.285,1.425,0.94,1.88,3.305,,,,,,,,,
