token,order,order_within_block,order_n,integ_d,none_d,cond,task,final_value,true_value,abs_diff,abs_diff_ratio,slide_count
ea4dfmqy4r8fc0vfn5crqkt9g7cbzy6jclro5cpw10ddyrpb9,none_first,1,1,0,1,none,task12,3,3.3,0.3,0.090909091,1
ea4dfmqy4r8fc0vfn5crqkt9g7cbzy6jclro5cpw10ddyrpb9,none_first,2,2,0,1,none,task1,64,60.121,3.879,0.064519885,1
ea4dfmqy4r8fc0vfn5crqkt9g7cbzy6jclro5cpw10ddyrpb9,none_first,3,3,0,1,none,task2,218,227.429,9.429,0.041459093,1
ea4dfmqy4r8fc0vfn5crqkt9g7cbzy6jclro5cpw10ddyrpb9,none_first,4,4,0,1,none,task5,559,580,21,0.036206897,1
ea4dfmqy4r8fc0vfn5crqkt9g7cbzy6jclro5cpw10ddyrpb9,none_first,5,5,0,1,none,task7,3.8,2.8,1,0.357142857,1
ea4dfmqy4r8fc0vfn5crqkt9g7cbzy6jclro5cpw10ddyrpb9,none_first,6,6,0,1,none,task9,4.9,3.2,1.7,0.53125,1
ea4dfmqy4r8fc0vfn5crqkt9g7cbzy6jclro5cpw10ddyrpb9,none_first,7,7,0,1,none,task11,3.8,3.8,0,0,1
ea4dfmqy4r8fc0vfn5crqkt9g7cbzy6jclro5cpw10ddyrpb9,none_first,8,8,0,1,none,task6,442,215,227,1.055813953,1
ea4dfmqy4r8fc0vfn5crqkt9g7cbzy6jclro5cpw10ddyrpb9,none_first,1,9,1,0,integ,task6,432,215,217,1.009302326,2
ea4dfmqy4r8fc0vfn5crqkt9g7cbzy6jclro5cpw10ddyrpb9,none_first,2,10,1,0,integ,task9,4.3,3.2,1.1,0.34375,2
ea4dfmqy4r8fc0vfn5crqkt9g7cbzy6jclro5cpw10ddyrpb9,none_first,3,11,1,0,integ,task11,3.2,3.8,0.6,0.157894737,2
ea4dfmqy4r8fc0vfn5crqkt9g7cbzy6jclro5cpw10ddyrpb9,none_first,4,12,1,0,integ,task1,98,60.121,37.879,0.630046074,2
ea4dfmqy4r8fc0vfn5crqkt9g7cbzy6jclro5cpw10ddyrpb9,none_first,5,13,1,0,integ,task7,5.3,2.8,2.5,0.892857143,2
ea4dfmqy4r8fc0vfn5crqkt9g7cbzy6jclro5cpw10ddyrpb9,none_first,6,14,1,0,integ,task5,386,580,194,0.334482759,2
ea4dfmqy4r8fc0vfn5crqkt9g7cbzy6jclro5cpw10ddyrpb9,none_first,7,15,1,0,integ,task12,3.3,3.3,0,0,2
ea4dfmqy4r8fc0vfn5crqkt9g7cbzy6jclro5cpw10ddyrpb9,none_first,8,16,1,0,integ,task2,215,227.429,12.429,0.054650023,2
