token,order,order_within_block,order_n,reunit_d,none_d,cond,task,final_value,true_value,abs_diff,abs_diff_ratio,slide_count
05830eowa72sh4w1299isbgldiqak3dhgbyoshdffsltjpuv7vi,none_first,1,9,1,0,reunit,task11,7,3.8,3.2,0.842105263,2
05830eowa72sh4w1299isbgldiqak3dhgbyoshdffsltjpuv7vi,none_first,2,10,1,0,reunit,task12,1,3.3,2.3,0.696969697,2
05830eowa72sh4w1299isbgldiqak3dhgbyoshdffsltjpuv7vi,none_first,3,11,1,0,reunit,task5,300,580,280,0.482758621,2
05830eowa72sh4w1299isbgldiqak3dhgbyoshdffsltjpuv7vi,none_first,4,12,1,0,reunit,task6,250,215,35,0.162790698,2
05830eowa72sh4w1299isbgldiqak3dhgbyoshdffsltjpuv7vi,none_first,5,13,1,0,reunit,task2,250,227.429,22.571,0.09924416,2
05830eowa72sh4w1299isbgldiqak3dhgbyoshdffsltjpuv7vi,none_first,6,14,1,0,reunit,task7,3,2.8,0.2,0.071428571,2
05830eowa72sh4w1299isbgldiqak3dhgbyoshdffsltjpuv7vi,none_first,7,15,1,0,reunit,task9,3,3.2,0.2,0.0625,2
05830eowa72sh4w1299isbgldiqak3dhgbyoshdffsltjpuv7vi,none_first,8,16,1,0,reunit,task1,60,60.121,0.121,0.002012608,2
1skb6799t4k1cbhmzz72tq33dicwv1fea49esdxjxid7dp9zfr,reunit_first,1,1,1,0,reunit,task9,7.2,3.2,4,1.25,3
1skb6799t4k1cbhmzz72tq33dicwv1fea49esdxjxid7dp9zfr,reunit_first,2,2,1,0,reunit,task7,5,2.8,2.2,0.785714286,2
1skb6799t4k1cbhmzz72tq33dicwv1fea49esdxjxid7dp9zfr,reunit_first,3,3,1,0,reunit,task2,66,227.429,161.429,0.709799542,9
1skb6799t4k1cbhmzz72tq33dicwv1fea49esdxjxid7dp9zfr,reunit_first,4,4,1,0,reunit,task12,3.8,3.3,0.5,0.151515152,2
1skb6799t4k1cbhmzz72tq33dicwv1fea49esdxjxid7dp9zfr,reunit_first,5,5,1,0,reunit,task6,245,215,30,0.139534884,2
1skb6799t4k1cbhmzz72tq33dicwv1fea49esdxjxid7dp9zfr,reunit_first,6,6,1,0,reunit,task11,4.1,3.8,0.3,0.078947368,2
1skb6799t4k1cbhmzz72tq33dicwv1fea49esdxjxid7dp9zfr,reunit_first,7,7,1,0,reunit,task1,58,60.121,2.121,0.035278854,2
1skb6799t4k1cbhmzz72tq33dicwv1fea49esdxjxid7dp9zfr,reunit_first,8,8,1,0,reunit,task5,591,580,11,0.018965517,3
1z28nqdxozitqznmknbzks,none_first,1,9,1,0,reunit,task12,6,3.3,2.7,0.818181818,2
1z28nqdxozitqznmknbzks,none_first,2,10,1,0,reunit,task5,200,580,380,0.655172414,2
1z28nqdxozitqznmknbzks,none_first,3,11,1,0,reunit,task11,6,3.8,2.2,0.578947368,3
1z28nqdxozitqznmknbzks,none_first,4,12,1,0,reunit,task2,100,227.429,127.429,0.560302336,2
1z28nqdxozitqznmknbzks,none_first,5,13,1,0,reunit,task9,2,3.2,1.2,0.375,2
1z28nqdxozitqznmknbzks,none_first,6,14,1,0,reunit,task1,80,60.121,19.879,0.330649856,2
1z28nqdxozitqznmknbzks,none_first,7,15,1,0,reunit,task6,250,215,35,0.162790698,7
1z28nqdxozitqznmknbzks,none_first,8,16,1,0,reunit,task7,3,2.8,0.2,0.071428571,2
27my0v41m2iwb454cko2h85micthcr5yadwg8l1qcujrbjra4i,reunit_first,1,1,1,0,reunit,task7,5,2.8,2.2,0.785714286,3
27my0v41m2iwb454cko2h85micthcr5yadwg8l1qcujrbjra4i,reunit_first,2,2,1,0,reunit,task9,5.6,3.2,2.4,0.75,10
27my0v41m2iwb454cko2h85micthcr5yadwg8l1qcujrbjra4i,reunit_first,3,3,1,0,reunit,task2,278,227.429,50.571,0.222359506,3
27my0v41m2iwb454cko2h85micthcr5yadwg8l1qcujrbjra4i,reunit_first,4,4,1,0,reunit,task11,4.6,3.8,0.8,0.210526316,2
27my0v41m2iwb454cko2h85micthcr5yadwg8l1qcujrbjra4i,reunit_first,5,5,1,0,reunit,task5,460,580,120,0.206896552,3
27my0v41m2iwb454cko2h85micthcr5yadwg8l1qcujrbjra4i,reunit_first,6,6,1,0,reunit,task12,3.8,3.3,0.5,0.151515152,2
27my0v41m2iwb454cko2h85micthcr5yadwg8l1qcujrbjra4i,reunit_first,7,7,1,0,reunit,task6,196,215,19,0.088372093,2
27my0v41m2iwb454cko2h85micthcr5yadwg8l1qcujrbjra4i,reunit_first,8,8,1,0,reunit,task1,62,60.121,1.879,0.031253638,6
4yo57u8xn5q5uonnwq257b9zjqj3xni0n2bt3plywgvte29,none_first,1,9,1,0,reunit,task6,300,215,85,0.395348837,4
4yo57u8xn5q5uonnwq257b9zjqj3xni0n2bt3plywgvte29,none_first,2,10,1,0,reunit,task2,53,227.429,174.429,0.766960238,2
4yo57u8xn5q5uonnwq257b9zjqj3xni0n2bt3plywgvte29,none_first,3,11,1,0,reunit,task1,20,60.121,40.121,0.667337536,14
4yo57u8xn5q5uonnwq257b9zjqj3xni0n2bt3plywgvte29,none_first,4,12,1,0,reunit,task7,4,2.8,1.2,0.428571429,3
4yo57u8xn5q5uonnwq257b9zjqj3xni0n2bt3plywgvte29,none_first,5,13,1,0,reunit,task11,3,3.8,0.8,0.210526316,3
4yo57u8xn5q5uonnwq257b9zjqj3xni0n2bt3plywgvte29,none_first,6,14,1,0,reunit,task5,526,580,54,0.093103448,3
4yo57u8xn5q5uonnwq257b9zjqj3xni0n2bt3plywgvte29,none_first,7,15,1,0,reunit,task12,3,3.3,0.3,0.090909091,4
4yo57u8xn5q5uonnwq257b9zjqj3xni0n2bt3plywgvte29,none_first,8,16,1,0,reunit,task9,3.4,3.2,0.2,0.0625,4
6kl9gbf4mxs97jc7idutxq,reunit_first,1,1,1,0,reunit,task6,328,215,113,0.525581395,3
6kl9gbf4mxs97jc7idutxq,reunit_first,2,2,1,0,reunit,task1,120,60.121,59.879,0.995974784,2
6kl9gbf4mxs97jc7idutxq,reunit_first,3,3,1,0,reunit,task2,100,227.429,127.429,0.560302336,6
6kl9gbf4mxs97jc7idutxq,reunit_first,4,4,1,0,reunit,task9,4.9,3.2,1.7,0.53125,2
6kl9gbf4mxs97jc7idutxq,reunit_first,5,5,1,0,reunit,task7,4.1,2.8,1.3,0.464285714,2
6kl9gbf4mxs97jc7idutxq,reunit_first,6,6,1,0,reunit,task5,817,580,237,0.40862069,3
6kl9gbf4mxs97jc7idutxq,reunit_first,7,7,1,0,reunit,task12,3.5,3.3,0.2,0.060606061,2
6kl9gbf4mxs97jc7idutxq,reunit_first,8,8,1,0,reunit,task11,3.8,3.8,0,0,3
6wpmhvpvfz35ixlgy2fr49rudiezboi8mpxkl2wm7t0ukvwe9udi,reunit_first,1,1,1,0,reunit,task2,101,227.429,126.429,0.555905359,2
6wpmhvpvfz35ixlgy2fr49rudiezboi8mpxkl2wm7t0ukvwe9udi,reunit_first,2,2,1,0,reunit,task7,4,2.8,1.2,0.428571429,2
6wpmhvpvfz35ixlgy2fr49rudiezboi8mpxkl2wm7t0ukvwe9udi,reunit_first,3,3,1,0,reunit,task11,4.5,3.8,0.7,0.184210526,2
6wpmhvpvfz35ixlgy2fr49rudiezboi8mpxkl2wm7t0ukvwe9udi,reunit_first,4,4,1,0,reunit,task1,50,60.121,10.121,0.16834384,2
6wpmhvpvfz35ixlgy2fr49rudiezboi8mpxkl2wm7t0ukvwe9udi,reunit_first,5,5,1,0,reunit,task12,3,3.3,0.3,0.090909091,2
6wpmhvpvfz35ixlgy2fr49rudiezboi8mpxkl2wm7t0ukvwe9udi,reunit_first,6,6,1,0,reunit,task9,3,3.2,0.2,0.0625,2
6wpmhvpvfz35ixlgy2fr49rudiezboi8mpxkl2wm7t0ukvwe9udi,reunit_first,7,7,1,0,reunit,task5,600,580,20,0.034482759,2
6wpmhvpvfz35ixlgy2fr49rudiezboi8mpxkl2wm7t0ukvwe9udi,reunit_first,8,8,1,0,reunit,task6,210,215,5,0.023255814,2
89vqpw4gm4dpkuaau82eghkt9ds5369lqb4dx5to4lt9kn8kt9,none_first,1,9,1,0,reunit,task6,300,215,85,0.395348837,2
89vqpw4gm4dpkuaau82eghkt9ds5369lqb4dx5to4lt9kn8kt9,none_first,2,10,1,0,reunit,task12,1,3.3,2.3,0.696969697,2
89vqpw4gm4dpkuaau82eghkt9ds5369lqb4dx5to4lt9kn8kt9,none_first,3,11,1,0,reunit,task9,5,3.2,1.8,0.5625,2
89vqpw4gm4dpkuaau82eghkt9ds5369lqb4dx5to4lt9kn8kt9,none_first,4,12,1,0,reunit,task2,350,227.429,122.571,0.538941824,2
