workerId	cond	order	task	qval	q1YN	q2rate	reunit	integ	pa	off	educ	drop
A3BI0AX5T5GVO3	integ	9	integrationS::13::10	11000	1	4	0	1	0	0	bach	0
A3UC45GKCAZ7ZU	integ	5	integrationS::13::10	11000 pounds	1	5	0	1	0	0	high	0
A1I9ZBV75AVWUS	integ	10	integrationS::13::10	11000	1	4	0	1	0	0	high	0
A1FYFBIFYWTMJS	integ	13	integrationS::13::10	11000 pounds 	1	6	0	1	0	0	grad	0
A31AG5Q0S5OI5V	integ	9	integrationS::13::10	"11,000 pounds"	1	4	0	1	0	0	bach	0
A1AEKMIKKEBZLZ	integ	10	integrationS::13::10	"11,000 pounds"	1	4	0	1	0	0	bach	0
A1T29BTOVBSEA6	integ	4	integrationS::13::10	"11,000 pounds"	1	6	0	1	0	0	bach	0
A1UURQF07IOXBO	integ	2	integrationS::13::10	"11,000 pounds"	1	3	0	1	0	0	bach	0
A2YNN8T8ROWHES	integ	15	integrationS::13::10	"11,000 pounds"	1	6	0	1	0	0	bach	0
A2O5OJXCUFQ3FV	integ	13	integrationS::13::10	"7,700 pounds"	0	2	0	1	0	0	bach	1
A21EY5PH7LGZX9	integ	6	integrationS::13::10	"500 pounds 7,700 pounds 2 mi 200-pound 11,000 pounds"	1	4	0	1	0	0	bach	0
A1JCFCPGEYT1L4	integ	13	integrationS::13::10	"11,000 pounds"	1	4	0	1	0	0	high	0
A36470UBRH28GO	integ	4	integrationS::13::10	"11,000 pounds"	1	5	0	1	0	0	bach	0
A36470UBRH28GO	integ	11	integrationS::13::10	"11,000 pounds "	1	5	0	1	0	0	bach	0
A31ZQLN5HTZZOS	integ	9	integrationS::13::10	" 11,000 pounds "	1	6	0	1	0	0	other	0
A166A2M31CW2C7	integ	5	integrationS::14::1	125-meter	1	6	0	1	0	0	high	0
A3UC45GKCAZ7ZU	integ	11	integrationS::14::1	125 meter	1	6	0	1	0	0	high	0
A1FYFBIFYWTMJS	integ	1	integrationS::14::1	125 meter	1	6	0	1	0	0	grad	0
AKLV0WIZZ356X	integ	6	integrationS::14::1	125-meter	1	6	0	1	0	0	high	0
AAJ1ZQECDZBEE	integ	2	integrationS::14::1	125-meter	1	6	0	1	0	0	bach	0
A3IW9415ZOO0EX	integ	5	integrationS::14::1	125-meter	1	6	0	1	0	0	high	0
A3HXCMU4MOPSQI	integ	6	integrationS::14::1	125-meter	1	6	0	1	0	0	high	0
A1UURQF07IOXBO	integ	1	integrationS::14::1	125m	1	4	0	1	0	0	bach	0
A2YNN8T8ROWHES	integ	7	integrationS::14::1	125-meter	1	6	0	1	0	0	bach	0
A21EY5PH7LGZX9	integ	12	integrationS::14::1	125-meter	1	5	0	1	0	0	bach	0
A2QH1BQA6GR48O	integ	15	integrationS::14::1	" 1,384 meters long  125-meter "	1	5	0	1	0	0	bach	0
A149ROBL26JWPJ	integ	7	integrationS::14::1	125-meter	0	2	0	1	0	0	bach	0
A3RR85PK3AV9TU	integ	7	integrationS::14::1	125-meter	1	4	0	1	0	0	high	0
