workerId	cond	rand	order	task	qval	q1YN	q2rate	reunit	integ	pa	off	educ	drop
A110KENBXU7SUJ	integ	0	13	integrationS::13::10	"11,000 pounds"	1	3	0	1	0	0	high	0
A1BXZYF3XW11LQ	integ	0	3	integrationS::13::10	"11,000 pounds"	1	6	0	1	0	0	bach	0
A1EITLFAMKA61U	integ	0	9	integrationS::13::10	"11,000 pounds"	1	6	0	1	0	0	high	0
A1UY2W2FL9CWN	integ	0	4	integrationS::13::10	"11,000 pounds"	1	6	0	1	0	0	bach	0
A1VL7507UONPX0	integ	0	8	integrationS::13::10	"11,000 pounds"	1	6	0	1	0	0	bach	0
A2TYLR23CHRULH	integ	0	10	integrationS::13::10	"11,000 pounds "		6	0	1	0	0	high	0
A2YLLYJ04QIRXZ	integ	0	5	integrationS::13::10	"11,000 pounds"	0	0	0	1	0	0	bach	0
A37EV8RZ82WT8E	integ	0	3	integrationS::13::10	"11,000 pounds"	1	6	0	1	0	0	bach	0
A37I58C4258IPX	integ	0	9	integrationS::13::10	"11,000 pounds"	1	5	0	1	0	0	bach	0
A38U3EWZNEOMUH	integ	0	10	integrationS::13::10	"11,000 pounds"	1	5	0	1	0	0	high	0
A3N0QZ9ZKUCTCQ	integ	0	2	integrationS::13::10	"11,000 pounds"	1	5	0	1	0	0	bach	0
A3P5WIW36V70AI	integ	0	1	integrationS::13::10	11000 lbs		4	0	1	0	0	high	0
A423QQ5WN43B9	integ	0	14	integrationS::13::10	"11,000 pounds"	1	4	0	1	0	0	grad	0
A79EZLBBN7JVG	integ	0	12	integrationS::13::10	11000 pounds	1	5	0	1	0	0	high	0
AZTTSP8SAHDR6	integ	0	11	integrationS::13::10	"11,000 pounds"	1	3	0	1	0	0	bach	0
A10DEO061A6L3O	integ	0	9	integrationS::14::1	125 meter 	1	6	0	1	0	0	bach	0
A16UAN46CNIRHY	integ	0	12	integrationS::14::1	125-meter	1	6	0	1	0	0	bach	0
A1BXZYF3XW11LQ	integ	0	11	integrationS::14::1	125-meter	1	5	0	1	0	0	bach	0
A1EITLFAMKA61U	integ	0	6	integrationS::14::1	125-meter	1	5	0	1	0	0	high	0
A1VL7507UONPX0	integ	0	13	integrationS::14::1	125-meter	1	6	0	1	0	0	bach	0
A263KB3YR8VZTF	integ	0	8	integrationS::14::1	125-meter	1	6	0	1	0	0	other	0
A2DSQT79EPX7MY	integ	0	5	integrationS::14::1	125-meter	1	6	0	1	0	0	high	0
A2S3MXU8T2I5H0	integ	0	9	integrationS::14::1	125-meter	1	4	0	1	0	0	high	0
A2TYLR23CHRULH	integ	0	11	integrationS::14::1	125-meter	1	6	0	1	0	0	high	0
A2YLLYJ04QIRXZ	integ	0	9	integrationS::14::1	125 meters	1	4	0	1	0	0	bach	0
A31IZKL0SIL3MB	integ	0	7	integrationS::14::1	125 meters	1	6	0	1	0	0	high	0
A37EV8RZ82WT8E	integ	0	7	integrationS::14::1	125-meter	1	5	0	1	0	0	bach	0
A37I58C4258IPX	integ	0	11	integrationS::14::1	125-meter	1	5	0	1	0	0	bach	0
A423QQ5WN43B9	integ	0	15	integrationS::14::1	125 meter	1	4	0	1	0	0	grad	0
A79EZLBBN7JVG	integ	0	3	integrationS::14::1	125 meter	1	2	0	1	0	0	high	0
AS1QMPXIT1EGX	integ	0	3	integrationS::14::1	125 meter	0	2	0	1	0	0	bach	0
A110KENBXU7SUJ	integ	0	15	integrationS::15::1	400 gallons	0	2	0	1	0	0	high	0
A12HZGOZQD5YK7	integ	0	10	integrationS::15::1	400 gallons	1	6	0	1	0	0	other	0
A1EITLFAMKA61U	integ	0	13	integrationS::15::1	400 gallons	1	5	0	1	0	0	high	0
A1UY2W2FL9CWN	integ	0	14	integrationS::15::1	400 gallons	1	6	0	1	0	0	bach	0
A263KB3YR8VZTF	integ	0	10	integrationS::15::1	400 gallons	1	3	0	1	0	0	other	0
A2A07J1P6YEW6Z	integ	0	4	integrationS::15::1	400 gallons	1	6	0	1	0	0	grad	0
A2S3MXU8T2I5H0	integ	0	8	integrationS::15::1	400 gallons	1	5	0	1	0	0	high	0
A2TYLR23CHRULH	integ	0	9	integrationS::15::1	 400 gallons	1	6	0	1	0	0	high	0
A2YLLYJ04QIRXZ	integ	0	8	integrationS::15::1	400 gallons	1	6	0	1	0	0	bach	0
A37EV8RZ82WT8E	integ	0	10	integrationS::15::1	400 gallons	1	6	0	1	0	0	bach	0
