property,synsetId,synsetName,mean,normVar,n,minValue,maxValue
Height,n03778817,module,0.09,0.66,4.0,0.066666669,0.109375004
Height,n04003856,print,0.52,0.84,2.0,0.302083343,0.739583357
Height,n04565375,weapon,1.96,0.88,3.0,0.808333359,2.880416759
Height,n03578656,interface,0.42,0.56,9.0,0.150833338,0.550000018
Height,n02953673,canvas,0.93,1.1,6.0,0.139583338,1.208333372
Height,n03744276,memory,0.27,0.61,4.0,0.189583339,0.41666668
Height,n06275353,wireless,0.33,0.81,5.0,0.065000002,0.550000018
Height,n04568713,web,0.43,0.4,4.0,0.293750009,0.541666684
Height,n04435180,tile,0.3,1.18,7.0,0.008333334,0.489583349
Height,n03868406,oxford,0.38,0.08,11.0,0.375000012,0.400000013
Height,n02871824,boom,0.35,0.51,3.0,0.230833341,0.442916681
Height,n04598582,woodwind,0.08,0.0,1.0,0.083333336,0.083333336
Height,n02727825,apparatus,0.59,0.62,3.0,0.387500012,0.83333336
Height,n02840619,binding,0.8,0.56,8.0,0.366666678,1.021875033
Height,n02710044,andiron,1.43,0.08,4.0,1.375000044,1.515625049
Height,n03438661,glass,0.23,1.0,3.0,0.068750002,0.329166677
Height,n03613294,key,0.32,1.36,6.0,0.022916667,0.473958349
Height,n02849154,blanket,0.51,0.68,7.0,0.241666674,0.733333357
Height,n03431243,gear,0.13,0.0,1.0,0.130833338,0.130833338
Height,n03413828,game,0.53,0.56,6.0,0.272916675,0.82333336
Height,n04108268,rope,0.12,0.74,10.0,0.068750002,0.120833337
Height,n02802426,basketball,0.86,0.14,3.0,0.779166692,0.92500003
Height,n04284002,spoon,0.06,0.95,7.0,0.014916667,0.097083336
Height,n02694426,alarm,0.08,0.25,2.0,0.072916669,0.093750003
Height,n03284308,empty,0.36,0.61,4.0,0.250000008,0.427083347
Height,n04461879,toy,0.45,0.62,16.0,0.290000009,0.552083351
Height,n02873520,boot,0.25,0.47,3.0,0.20833334,0.333333344
Height,n04200000,shoe,0.31,0.34,6.0,0.333333344,0.358333345
Height,n03940894,pin,0.09,0.45,2.0,0.070833336,0.112500004
Height,n03390983,frame,0.42,0.86,3.0,0.166666672,0.583333352
Height,n03728982,match,0.4,0.0,1.0,0.395833346,0.395833346
Height,n03268311,elbow,0.15,0.5,3.0,0.095000003,0.174166672
Height,n04175147,server,1.0,0.54,6.0,0.613541686,1.230000039
Height,n03525454,holder,0.39,1.18,7.0,0.145833338,0.354166678
Height,n04394261,target,0.51,1.09,7.0,0.079166669,0.885416695
Height,n04304375,starter,0.45,0.09,9.0,0.41666668,0.491666682
Height,n04283378,spoke,0.09,0.82,2.0,0.054166668,0.129166671
Height,n03513137,helmet,0.87,0.0,1.0,0.866666694,0.866666694
Height,n03358172,flash,0.26,0.0,1.0,0.262500008,0.262500008
Height,n03659809,lever,0.07,0.14,3.0,0.065416669,0.077916669
Height,n03431570,gearbox,0.25,1.33,8.0,0.096250003,0.171875006
Height,n02933340,cabinet,3.58,0.34,3.0,2.718750087,4.041666796
Height,n03001627,chair,2.53,0.16,7.0,2.270833406,2.666666752
Height,n04451818,tool,0.26,0.87,11.0,0.10416667,0.399583346
